exp_name,layer_count,layers,steer_direction,first_half_matches_direction,steer_alpha,first_half_scale,second_half_scale,first_half_positive,second_half_negative,second_half_perplexity,first_half_positive_norm,second_half_negative_norm,inverse_ppl_norm,score_avg,score_mul
pattern_l25-31-16-24-26_a2.0_fh0.5_sh1.0,5,"25,31,16,24,26",positive,True,2.0,0.5,1.0,0.18786913983523845,0.34502012862823905,48.35072240948677,0.22292513956317642,0.5207478439583787,0.9989095532078821,0.5808608455764791,0.11596119823802423
pattern_l25-31-16_a1.2_fh0.5_sh1.0,3,"25,31,16",positive,True,1.2,0.5,1.0,0.27660933282226324,0.15098866218235343,8.064771852493287,0.5394419450677116,0.19549834414896752,0.9998673485937011,0.57826921260346,0.10544601760699572
pattern_l25_a2.4_fh1.0_sh3.0,1,25,positive,True,2.4,1.0,3.0,0.25813794216141106,0.19964821439236402,1070.7519783961773,0.473558545805169,0.27706498541160934,0.9746020417330271,0.5750751909832684,0.12787411458741899
pattern_l25-31-16-24-26_a1.6_fh0.5_sh1.5,5,"25,31,16,24,26",positive,True,1.6,0.5,1.5,0.24366093324497343,0.2031584881991148,nan,0.42192223015999675,0.28294915884364485,1.0,0.5682904630012139,0.1193825401212058
pattern_l25-31-16-24-26_a2.4_fh1.0_sh3.0,5,"25,31,16,24,26",positive,True,2.4,1.0,3.0,0.2980354975163937,0.5590790781378746,35342.573675851825,0.6158643752532288,0.8795688513600536,0.15979210845382685,0.5517417783557031,0.0865586055453223
pattern_l25-31-16-24-26_a2.4_fh1.0_sh2.5,5,"25,31,16,24,26",positive,True,2.4,1.0,2.5,0.3213080343604088,0.59352707862854,42063.609375,0.6988724099431162,0.9373130674619717,0.0,0.5453951591350293,0.0
pattern_l25_a1.2_fh0.5_sh1.0,1,25,positive,True,1.2,0.5,1.0,0.261678332942829,0.11488376093559026,8.30333002448082,0.4861863432287779,0.13497671182675341,0.999861676891452,0.5403415773156611,0.0656147566513878
pattern_l25_a1.6_fh0.5_sh1.0,1,25,positive,True,1.6,0.5,1.0,0.2559579581290018,0.12516797046526335,8.48011081457138,0.4657830208850241,0.15221584353426046,0.9998574739417212,0.5392854461203352,0.07088945039378114
pattern_l25-31-16_a2.0_fh1.0_sh2.5,3,"25,31,16",positive,True,2.0,1.0,2.5,0.2293244740832597,0.18949377480894328,604.4502590441704,0.370787224663949,0.2600433834217404,0.9856883293598501,0.5388396458151798,0.09504082220775988
pattern_l25-31-16_a2.4_fh1.0_sh2.5,3,"25,31,16",positive,True,2.4,1.0,2.5,0.215108457878232,0.18885567661374808,1070.6737819385528,0.3200818127783337,0.25897375733161127,0.974603900847812,0.5178864903192523,0.08078763620227435
pattern_l25-31-16-24-26_a1.2_fh1.0_sh1.5,5,"25,31,16,24,26",positive,True,1.2,1.0,1.5,0.13155487027019264,0.3438785903516691,13.482798911333084,0.022064491112076243,0.5188343153938187,0.9997385354157705,0.5135457806405551,0.011444821942420991
pattern_l25-31-16_a2.4_fh1.0_sh2.0,3,"25,31,16",positive,True,2.4,1.0,2.0,0.17928533965721727,0.1756965233385563,1235.6967133438586,0.1923086069640893,0.23691543813695023,0.970680493305753,0.4666348461355975,0.04422505541251079
